store_id,category,revenue
1,Drama,2573.24
1,Sports,2488.46
1,New,2402.98
1,Comedy,2377.97
1,Action,2342.04
1,Animation,2297.29
1,Foreign,2289.77
1,Sci-Fi,2203.79
1,Family,2166.44
1,Games,2083.46
1,Documentary,1869.51
1,Music,1795.66
1,Children,1758.47
1,Classics,1717.51
1,Horror,1673.14
1,Travel,1640.06
2,Sports,2825.75
2,Sci-Fi,2553.19
2,Animation,2359.01
2,Documentary,2348.01
2,Games,2197.87
2,Family,2059.63
2,Horror,2049.40
2,Action,2033.81
2,Drama,2014.15
2,Comedy,2005.61
2,Foreign,1980.90
2,New,1948.64
2,Classics,1922.08
2,Travel,1909.58
2,Children,1897.08
2,Music,1622.06
