store_id,category,revenue
1,Drama,26484.16
1,Sci-Fi,15792.07
1,Classics,13589.36
1,Documentary,11316.11
1,Family,9900.70
1,Action,9722.74
1,Foreign,9316.51
1,Animation,8179.23
1,Sports,7301.57
1,New,6341.06
1,Comedy,5903.10
1,Travel,4984.11
1,Horror,4867.38
1,Children,4798.49
1,Games,4758.07
1,Music,4453.25
2,Foreign,41470.44
2,Documentary,14460.81
2,Family,11904.89
2,Animation,10907.79
2,Sports,10733.03
2,Drama,9389.53
2,Children,9291.87
2,Music,8868.18
2,Comedy,7945.77
2,Sci-Fi,7328.66
2,Horror,5964.97
2,Classics,5908.97
2,Games,5540.22
2,New,5391.23
2,Travel,5240.48
2,Action,5050.38
